YEAR,STATE,DEATHS
2017,AL,836.00
2017,AK,200.00
2017,AZ,1327.00
2017,AR,631.00
2017,CA,4312.00
2017,CO,1181.00
2017,CT,405.00
2017,DE,112.00
2017,FL,3227.00
2017,GA,1451.00
2017,HI,227.00
2017,ID,392.00
2017,IL,1474.00
2017,IN,1092.00
2017,IA,479.00
2017,KS,553.00
2017,KY,770.00
2017,LA,720.00
2017,ME,274.00
2017,MD,630.00
2017,MA,682.00
2017,MI,1457.00
2017,MN,783.00
2017,MS,445.00
2017,MO,1151.00
2017,MT,311.00
2017,NE,275.00
2017,NV,627.00
2017,NH,265.00
2017,NJ,795.00
2017,NM,491.00
2017,NY,1696.00
2017,NC,1521.00
2017,ND,154.00
2017,OH,1740.00
2017,OK,756.00
2017,OR,825.00
2017,PA,2030.00
2017,RI,129.00
2017,SC,838.00
2017,SD,191.00
2017,TN,1166.00
2017,TX,3778.00
2017,UT,663.00
2017,VT,112.00
2017,VA,1179.00
2017,WA,1297.00
2017,WV,393.00
2017,WI,926.00
2017,WY,157.00
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,